"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene_Symbol"
0.282800492574714,-0.392861402703454,1.61205761956514,-0.243701836668488,0.807461750796449,1,"AL645728.1"
0.36519275099593,-0.925368569845244,1.22432881887671,-0.755817028544872,0.449758905643784,1,"FNDC10"
0.422653299542834,-1.23991013602974,1.0467792100028,-1.18450015455162,0.236215135143932,1,"AL691432.2"
3.02531963187838,-0.616264002414905,0.684851386286644,-0.899850704481116,0.368199706702098,1,"MIB2"
0.218853312166529,-0.807718409784792,1.81115854113127,-0.445967810902012,0.655620497798316,1,"MMP23B"
2.63134834504488,-0.332268591922876,0.615476515523596,-0.53985584103109,0.589296453515858,1,"CDK11B"
0.156583132636226,-0.992587863625753,1.55388860540663,-0.638776718081413,0.522968196163367,1,"FO704657.1"
1.81950348213875,0.063527128634067,0.748345279734868,0.0848901307382792,0.932348737994839,1,"SLC35E2B"
3.58487924073818,-1.62047754205635,0.92811133388313,-1.74599477767007,0.0808118593037848,1,"CDK11A"
2.97380003388831,-0.498498364605251,0.66352593169559,-0.751286936640707,0.452479989315755,1,"SLC35E2A"
3.04537763643066,-0.145371419105226,0.559746889376265,-0.259709204042592,0.795088092402442,1,"NADK"
34.6108951334303,-0.455908756462709,0.395055009636067,-1.15403866636877,0.248484316881249,1,"GNB1"
0.299665222326808,-0.991316844418148,3.40371583268872,-0.291245477926714,0.770863582994097,1,"AL109917.1"
0.00984900167423671,-0.86315857191512,4.24122101607246,-0.203516527114269,0.838731329211792,1,"CALML6"
0.00922433830147675,-0.935459254844832,4.24141894714454,-0.220553372940113,0.825440209952312,1,"TMEM52"
0.231374008855273,-0.942382073798348,1.30309255418755,-0.723188902254074,0.469563836009562,1,"CFAP74"
0.0120402475698743,-0.88880172484323,4.24100040565765,-0.209573600525371,0.834000485788631,1,"AL391845.2"
0.407205660272413,-1.04617499122308,1.33606644614717,-0.7830261692747,0.433611744777894,1,"GABRD"
0,NA,NA,NA,NA,NA,"AL391845.1"
7.06769587031403,-0.390177958151045,0.505057206961477,-0.772542105672407,0.439793418773606,1,"PRKCZ"
0.00600412684065449,0,4.24178820675286,0,1,1,"AL590822.2"
0.166118964570437,-0.211187143915963,2.1891268327786,-0.0964709494003639,0.923146545310991,1,"PRKCZ-AS1"
3.59648866226179,-0.0102183397278634,0.579576234714452,-0.0176307086381791,0.985933458530407,1,"FAAP20"
0.058773893231794,-0.921821188699231,2.79338899129464,-0.330001010089182,0.741399198894068,1,"AL590822.1"
11.9356464419067,-0.0163453762135735,0.512005619262291,-0.0319242125450192,0.974532489659554,1,"SKI"
2.0480046172561,-0.31746588466689,0.835941481037821,-0.379770464641563,0.704115808458683,1,"MORN1"
4.91889065602782,-0.620475453390858,0.529688240240164,-1.17139744901554,0.241439057182857,1,"RER1"
1.39851668112405,0.227192677193156,0.848630297415385,0.267716905565475,0.78891723591763,1,"PEX10"
1.97682304321191,-1.38480800508288,0.771824197022972,-1.79420133551691,0.07278103906923,1,"PLCH2"
0,NA,NA,NA,NA,NA,"AL139246.1"
0,NA,NA,NA,NA,NA,"AL139246.4"
0.344620308359394,-0.409148104356129,1.27041084262956,-0.322059675993676,0.747407485935928,1,"PANK4"
0.763870115849922,-2.27950380916665,1.38343754545468,-1.64770995022943,0.0994122052192619,1,"HES5"
0.441748715589161,-1.19351342191119,1.39756002455309,-0.853997968561564,0.393106114961817,1,"AL139246.5"
0.00199449492215083,-0.983188273778624,4.24155511675532,-0.231799009258363,0.816694126598544,1,"TNFRSF14-AS1"
0.297289526762136,-0.500489771247382,1.47014510740779,-0.340435626881663,0.733528492812795,1,"TNFRSF14"
0.00932822825132645,-0.976676398099274,4.24153626768667,-0.230264775887901,0.817886029980768,1,"AL139246.3"
0.289016170770666,-0.601543213714569,1.41068997203239,-0.426417728657929,0.669803485245574,1,"FAM213B"
0.0531801625746568,-0.87433063781234,2.52510609271096,-0.346255010962195,0.729151075802785,1,"MMEL1"
0,NA,NA,NA,NA,NA,"AL831784.1"
0.829719481178915,-0.574842704383718,1.1201902197982,-0.513165259099723,0.607835725276975,1,"TTC34"
0.00280481664797096,-1.09413363369884,4.24172011697849,-0.257945739823641,0.796448783699198,1,"AC242022.1"
0,NA,NA,NA,NA,NA,"AL592464.2"
0,NA,NA,NA,NA,NA,"AL592464.1"
0.0165236297551131,-1.00387718102244,4.24116797471507,-0.236698283823546,0.812890866444673,1,"AL589702.1"
0,NA,NA,NA,NA,NA,"ACTRT2"
1.00947726658243,0.0955146249471259,0.957639652219113,0.0997396303774519,0.920551036904576,1,"LINC00982"
10.9794686575972,0.606282129080753,0.433966555282894,1.3970710915396,0.162392193964642,1,"PRDM16"
0,NA,NA,NA,NA,NA,"AL008733.1"
0.0179583178879023,-0.836728132167949,4.24115107651689,-0.197287980803345,0.843602184437821,1,"AL590438.1"
0.186117582428973,-0.865956756150697,1.3712773619818,-0.631496428191009,0.527715983938714,1,"ARHGEF16"
0,NA,NA,NA,NA,NA,"AL512413.1"
0.814192380799161,-0.876638558654334,1.03728592665983,-0.845127207574482,0.398039818967338,1,"MEGF6"
0.0627723265880816,-0.987325850875215,3.10954951238946,-0.317514111591208,0.750853533520442,1,"AL513320.1"
1.2652016094686,0.137929989053962,0.948118850135477,0.145477530622087,0.884333854979717,1,"TPRG1L"
0.740279278449377,-0.147213484405338,0.953219291340836,-0.154438213475791,0.877264225078543,1,"WRAP73"
0.0156672911852305,-0.939162039039322,4.24127025274116,-0.221434141913578,0.824754410764603,1,"TP73"
0,NA,NA,NA,NA,NA,"AL136528.1"
0.00589493605357083,0,4.24178820681828,0,1,1,"AL136528.2"
0.164295770713015,-1.55914864707204,3.7269839914147,-0.418340580658146,0.675698123567418,1,"CCDC27"
0.176572028683714,-0.829111555789479,1.79357226310805,-0.462268274796313,0.643888947394106,1,"SMIM1"
1.04789657452367,-0.221098861018057,0.917805027436402,-0.240899596764714,0.809632934672371,1,"LRRC47"
0.0184391578859849,0,4.24178820334141,0,1,1,"AL365330.1"
4.64566855640223,-0.0317319003641511,0.448036072162667,-0.0708244320841878,0.943537486657402,1,"CEP104"
2.52173189208908,-0.621565055083975,0.715435468164237,-0.86879262035872,0.384960570238091,1,"DFFB"
2.02132627588763,-0.930850836984582,1.26007785494224,-0.738724860002597,0.460074086901687,1,"C1orf174"
0.0401311996111229,-0.749140941248046,3.8972989530439,-0.19222054819863,0.84756945088804,1,"LINC01134"
0.00280862882499566,0,4.24178820759393,0,1,1,"LINC01346"
0,NA,NA,NA,NA,NA,"LINC01345"
0.0122083083390376,-0.976677056930284,4.24153626725562,-0.230264931239694,0.817885909270901,1,"AL805961.1"
0.00518768882877723,0,4.24178820711873,0,1,1,"AL805961.2"
0,NA,NA,NA,NA,NA,"LINC01777"
0,NA,NA,NA,NA,NA,"AL355602.1"
0,NA,NA,NA,NA,NA,"Z98747.1"
0.00561344547296662,-1.09413450429893,4.24172011654239,-0.257945945097106,0.79644862527382,1,"LINC01646"
4.94934745979253,0.457488307637802,0.789869508625154,0.579194794383322,0.562457742922714,1,"AJAP1"
0,NA,NA,NA,NA,NA,"BX005132.2"
0.0015002936511856,-1.07913181625859,4.24175115878431,-0.254407148336317,0.799181029032701,1,"BX005132.1"
0,NA,NA,NA,NA,NA,"AL691497.1"
0,NA,NA,NA,NA,NA,"AL139823.1"
0.00312404675294333,0,4.24178820745071,0,1,1,"Z98259.3"
0,NA,NA,NA,NA,NA,"Z98259.2"
0,NA,NA,NA,NA,NA,"Z98259.1"
0.0998297906538963,-0.770879978021595,2.35745265893992,-0.326997013110006,0.743670144338028,1,"AL365255.1"
3.94462817121438,-0.26944673871502,0.54934095666767,-0.49049089721891,0.623786569606243,1,"NPHP4"
