"","Gene_Symbol","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HNRNPA1","HNRNPA1",0.0569288469589903,0.14765040186561,0.262,0.231,1
"IFT22","IFT22",0.0569457643178099,-0.717629261469419,0.036,0.05,1
"MTCH2","MTCH2",0.057029485150737,-0.229114110242467,0.357,0.381,1
"ENSG00000260509","ENSG00000260509",0.0571917953388782,-0.507381131462248,0.008,0.015,1
"B4GALNT3","B4GALNT3",0.0572081651393994,0.695550276798191,0.056,0.041,1
"USP16","USP16",0.0572519406141298,-0.14508585388686,0.388,0.418,1
"KRI1","KRI1",0.0573382099247436,0.217492819125932,0.142,0.118,1
"ENSG00000232406","ENSG00000232406",0.0573626112688334,-0.369667757311797,0.037,0.052,1
"LINC00578","LINC00578",0.0573680209492378,0.147005580975002,0.03,0.019,1
"PSTPIP2","PSTPIP2",0.057470363887626,0.574215139477507,0.021,0.012,1
"BCL9L","BCL9L",0.0575165985613469,0.758120360350544,0.022,0.013,1
"RAE1","RAE1",0.0575289299980251,0.265348675075828,0.158,0.133,1
"MACO1","MACO1",0.0575946115462684,0.166813924775545,0.585,0.546,1
"NEXN","NEXN",0.0576670536554208,-0.437733115451704,0.051,0.067,1
"SLIT1","SLIT1",0.0577021370156576,0.646385197044617,0.035,0.024,1
"ADPRHL1","ADPRHL1",0.0577301428771083,0.257034021940344,0.1,0.08,1
"JHY","JHY",0.0577522476508458,0.192098002662373,0.346,0.312,1
"NFIL3","NFIL3",0.0577529127491758,0.492173955745207,0.046,0.033,1
"SLC61A1","SLC61A1",0.0577727176896146,0.260545501332052,0.101,0.08,1
"RELL2","RELL2",0.0578560680707886,0.659381435431315,0.03,0.02,1
"SMIM47","SMIM47",0.0579217001310226,-0.498256850903953,0.006,0.013,1
"ZNF813","ZNF813",0.0579426272099313,0.282861787730157,0.084,0.066,1
"FN3K","FN3K",0.0579753868631253,0.212526700531146,0.328,0.301,1
"NUDT16L1","NUDT16L1",0.0579841602387406,0.159146732668969,0.217,0.188,1
"BRD3OS","BRD3OS",0.0580290419787747,0.265242894360918,0.066,0.05,1
"MAP2K3","MAP2K3",0.0580341081920033,0.388144457683333,0.061,0.045,1
"C16orf95-DT","C16orf95-DT",0.0580765318216984,-0.531867563832584,0.008,0.015,1
"HLA-DRA","HLA-DRA",0.0581128750484726,1.50542970492683,0.012,0.006,1
"SLC9A8","SLC9A8",0.0581549031083251,-0.139076866668527,0.288,0.321,1
"ENSG00000271200","ENSG00000271200",0.0581832021971789,-0.565137924316228,0.041,0.056,1
"ADCK2","ADCK2",0.0582417905509691,-0.404875031208302,0.045,0.061,1
"GRM1","GRM1",0.0582633891505375,-0.528799858359384,0.026,0.038,1
"TBC1D30","TBC1D30",0.058283773866797,-0.690029776565127,0.053,0.069,1
"UAP1L1","UAP1L1",0.0583688495503737,0.237005520824837,0.18,0.154,1
"ZNF74","ZNF74",0.0584573183079681,0.158973956707386,0.083,0.064,1
"CSRNP2","CSRNP2",0.0584583360428535,-0.328477765462289,0.158,0.181,1
"LINC00649","LINC00649",0.0584768137864457,0.980112237425344,0.015,0.008,1
"RDH10","RDH10",0.0584815176774993,0.485634421477374,0.035,0.023,1
"IGFLR1","IGFLR1",0.0585191735028573,-0.905206291400326,0.011,0.02,1
"STYX","STYX",0.0585211343689107,-0.238906330533809,0.218,0.248,1
"DDX11-AS1","DDX11-AS1",0.0585445398359891,0.55719493026819,0.058,0.043,1
"TADA1","TADA1",0.0586445445527674,-0.38972198700231,0.135,0.158,1
"LOC105376713","LOC105376713",0.0587682856770178,0.286634023528506,0.045,0.031,1
"P3H1","P3H1",0.0587742365758439,-0.382019520336325,0.106,0.127,1
"TFG","TFG",0.0587931401007541,-0.131043204775944,0.427,0.458,1
"PSIP1","PSIP1",0.0588189452823348,0.104410668756496,0.604,0.58,1
"LZTFL1","LZTFL1",0.0589288126251483,0.314742246096118,0.133,0.11,1
"SPRING1","SPRING1",0.0589321788485674,-0.304025136839508,0.113,0.135,1
"GAK","GAK",0.0589540535274964,0.105387117722965,0.457,0.414,1
"RAP2A","RAP2A",0.0589981937952536,0.130224380843222,0.487,0.447,1
"SLC6A16","SLC6A16",0.0590457808035459,-0.784507399679673,0.033,0.046,1
"ARHGAP45","ARHGAP45",0.0590487190123211,1.27137783093538,0.012,0.006,1
"LOC124900609","LOC124900609",0.0590971048264211,0.94584013309399,0.015,0.008,1
"E2F3","E2F3",0.0591170432411016,-0.402970773895704,0.084,0.105,1
"FBXO17","FBXO17",0.0591594332054773,0.998540466599431,0.015,0.008,1
"H2AC8","H2AC8",0.0591691303360721,1.00992294668238,0.019,0.01,1
"ZNRF1","ZNRF1",0.0591873592514839,0.168211544903661,0.473,0.439,1
"FBXO34","FBXO34",0.0591981974938424,0.221541621376009,0.26,0.231,1
"PBDC1","PBDC1",0.0592302980440189,0.352035523540402,0.046,0.033,1
"ABRAXAS2","ABRAXAS2",0.0592716986468127,0.226113997166922,0.196,0.168,1
"ENSG00000229334","ENSG00000229334",0.0592933769799622,1.13622753091123,0.012,0.006,1
"RFX1","RFX1",0.0593196851409927,0.295146468370989,0.142,0.12,1
"NLE1","NLE1",0.0593375505132694,0.556330371890762,0.042,0.029,1
"ENSG00000268870","ENSG00000268870",0.059340950951246,0.30201100816909,0.073,0.056,1
"TTC4","TTC4",0.0593424734943055,0.703138005706358,0.026,0.016,1
"MED1","MED1",0.0595736439791097,0.25600343939885,0.225,0.199,1
"LOC105377858","LOC105377858",0.059594142382596,0.751532757838752,0.037,0.025,1
"POLR3C","POLR3C",0.0596070667213291,-0.300338086948157,0.133,0.156,1
"ERVK3-1","ERVK3-1",0.0596285513849424,0.397238261013235,0.062,0.046,1
"ZFHX3","ZFHX3",0.0596424368439008,-0.137727518530885,0.334,0.365,1
"PELP1-DT","PELP1-DT",0.0596443460679363,0.999415620610435,0.012,0.006,1
"KY","KY",0.0597148606972162,0.252901916996049,0.082,0.063,1
"ZNHIT3","ZNHIT3",0.0597755436202634,0.133960977687988,0.205,0.175,1
"GAS1RR","GAS1RR",0.059976457320964,-0.566331609457015,0.036,0.05,1
"C1orf162","C1orf162",0.0600031113575707,-0.318683320454315,0.023,0.035,1
"CARF","CARF",0.0600118960907836,-0.170946232256327,0.5,0.524,1
"STMN2","STMN2",0.0600162402322167,-0.456276531688038,0.021,0.033,1
"ENSG00000241295","ENSG00000241295",0.0600670131704559,-0.635401354911049,0.03,0.042,1
"MOCS3","MOCS3",0.0601081727768227,0.587828776903792,0.022,0.013,1
"ENSG00000223969","ENSG00000223969",0.0601385991093429,0.460505006419661,0.012,0.006,1
"A2M-AS1","A2M-AS1",0.0601579190814618,0.341929370327714,0.088,0.07,1
"PNO1","PNO1",0.0601726366464879,-0.24700419099721,0.09,0.111,1
"ENSG00000256427","ENSG00000256427",0.0602317582767223,0.216659249370567,0.177,0.153,1
"TBC1D7","TBC1D7",0.0602345036028244,-0.256052503040776,0.135,0.159,1
"USP2","USP2",0.0602637067896763,0.186193333451803,0.176,0.148,1
"KDSR-DT","KDSR-DT",0.0602817791024884,0.320131805849993,0.145,0.121,1
"ENSG00000263603","ENSG00000263603",0.0603153892950025,-0.46327850093242,0.04,0.055,1
"NUP188","NUP188",0.0603212834656705,0.124528746886881,0.217,0.186,1
"PVR","PVR",0.0603279426807237,0.58720940974998,0.061,0.046,1
"ENSG00000249209","ENSG00000249209",0.0603703916967582,0.229090991646035,0.099,0.078,1
"UGGT1","UGGT1",0.060398891476121,0.127824588131991,0.484,0.454,1
"ENSG00000238009","ENSG00000238009",0.0604815116406651,0.402399113265941,0.07,0.054,1
"NDUFAF5","NDUFAF5",0.0605558350596809,-0.206293980594996,0.205,0.23,1
"FLI1","FLI1",0.060564942026928,0.584576569021101,0.012,0.006,1
"ENSG00000273437","ENSG00000273437",0.0606026333701375,0.160511601781201,0.058,0.042,1
"NANOS1","NANOS1",0.0606156865522648,-0.800566299923746,0.015,0.025,1
"SUGCT","SUGCT",0.0606841024584968,0.29778794355519,0.167,0.142,1
"PARN","PARN",0.0607053452075971,-0.126873945383911,0.623,0.637,1
"SNRPB","SNRPB",0.0608204709382455,0.228667302309029,0.154,0.129,1
"RFWD3","RFWD3",0.0608734449868331,-0.192327311630225,0.207,0.237,1
"RAB6C","RAB6C",0.0608782908334358,-1.08563042991682,0.01,0.018,1
"PAFAH2","PAFAH2",0.0608933964004212,-0.28444957980837,0.186,0.212,1
"UCHL3","UCHL3",0.0609385325586759,0.146218641459239,0.262,0.229,1
"COG7","COG7",0.0610026323655005,-0.16200786019024,0.37,0.403,1
"ENSG00000249459","ENSG00000249459",0.0610215785445248,0.353458665037366,0.155,0.133,1
"SHANK1","SHANK1",0.0611682166874757,0.800156195306673,0.019,0.01,1
"UNC13C","UNC13C",0.0611699533741935,-1.2195191988315,0.01,0.018,1
"ENSG00000273442","ENSG00000273442",0.0612333699799417,-0.731920651482059,0.013,0.022,1
"SLC16A1-AS1","SLC16A1-AS1",0.0613375715001984,-0.120689227060706,0.65,0.659,1
"LOC124902438","LOC124902438",0.0613746314607507,0.310169293047541,0.022,0.013,1
"GNPDA2","GNPDA2",0.061436086880417,0.182722624505884,0.225,0.195,1
"SPCS3","SPCS3",0.0615007575371519,0.14376141689119,0.489,0.454,1
"WIZ","WIZ",0.0615171642004318,0.274980419005205,0.115,0.093,1
"ENSG00000285446","ENSG00000285446",0.061597638476698,0.77662652109196,0.019,0.01,1
"MYLK3","MYLK3",0.0616263551115302,0.860539385788552,0.019,0.01,1
"ENSG00000256050","ENSG00000256050",0.0616638020838349,0.624747924909302,0.031,0.02,1
"CERK","CERK",0.0616649292813243,-0.641618687829884,0.115,0.134,1
"LOC100129203","LOC100129203",0.0616715134400474,-0.52307027376504,0.118,0.139,1
"YJEFN3","YJEFN3",0.06182037408073,0.22801363928698,0.059,0.043,1
"THUMPD2","THUMPD2",0.0618375159791786,0.186541501936627,0.362,0.329,1
"ELP1","ELP1",0.0618481036084008,-0.13898399903956,0.388,0.416,1
"EML3","EML3",0.0620445161753943,-0.230272954877273,0.165,0.192,1
"NRCAM","NRCAM",0.0620649305383163,-0.727089352654876,0.026,0.037,1
"MED28","MED28",0.062071301591913,0.169042767257465,0.352,0.318,1
"ASB16","ASB16",0.0620719405246428,0.39696605322715,0.03,0.02,1
"DNAJC2","DNAJC2",0.0620809743915409,0.212189461737412,0.239,0.21,1
"ZBTB47","ZBTB47",0.0620926383479671,0.383786069696532,0.073,0.056,1
"ALDH1B1","ALDH1B1",0.0620978747555652,1.00450725629644,0.023,0.014,1
"ENSG00000266368","ENSG00000266368",0.0621904839410004,-0.348327516461819,0.068,0.086,1
"GFOD2","GFOD2",0.0622653348535634,0.296152356658191,0.123,0.101,1
