"","Gene_Symbol","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"C20orf204","C20orf204",0.574425195681507,-0.337214483651422,0.009,0.011,1
"LINC00571","LINC00571",0.574609572573615,-0.298333502729539,0.012,0.014,1
"RNF135","RNF135",0.574660146715954,-0.122275059152289,0.013,0.015,1
"MIX23","MIX23",0.575733825856297,-0.180951594816393,0.055,0.058,1
"ZFP69","ZFP69",0.57741688856184,0.154905440343261,0.018,0.016,1
"TMEM87B","TMEM87B",0.577919073705525,-0.109363644769066,0.121,0.126,1
"CUL7","CUL7",0.57799374878368,0.168115319943033,0.018,0.016,1
"ENSG00000260793","ENSG00000260793",0.580657985610448,-0.120490557963605,0.03,0.032,1
"LOC105378976","LOC105378976",0.58108156832409,0.111326609076007,0.018,0.016,1
"DVL3","DVL3",0.582432864168781,-0.145589966471054,0.107,0.111,1
"IFNGR2","IFNGR2",0.583017103998556,0.168149821689563,0.093,0.089,1
"BTBD10","BTBD10",0.583110640134421,-0.159323960226991,0.192,0.195,1
"LOC101927179","LOC101927179",0.583420350651808,-0.390932592172542,0.019,0.021,1
"CEP15","CEP15",0.584048713543702,0.117635578811424,0.071,0.068,1
"LOC101927560","LOC101927560",0.584791619775612,-0.144365738858046,0.123,0.117,1
"ENSG00000239801","ENSG00000239801",0.585171261566757,-0.127377471413061,0.056,0.059,1
"SLITRK5","SLITRK5",0.585188135200259,-0.222647760585527,0.027,0.029,1
"PATL2","PATL2",0.585573747042779,-0.367273111896806,0.016,0.018,1
"ENSG00000283217","ENSG00000283217",0.58621746174315,-0.152200015745972,0.066,0.069,1
"SLC5A4-AS1","SLC5A4-AS1",0.586502353129875,-0.244462867951531,0.014,0.016,1
"LINC01963","LINC01963",0.58684577871605,0.200993908389385,0.013,0.012,1
"BBS4","BBS4",0.587281034407962,-0.209274222684488,0.127,0.13,1
"WDR54","WDR54",0.587528433198645,0.11084249758694,0.019,0.017,1
"ZNF572","ZNF572",0.588692251424044,-0.316920311411387,0.013,0.015,1
"NARF","NARF",0.588820653791734,-0.11830778921936,0.172,0.174,1
"GABBR2","GABBR2",0.589323768402157,0.261779314624296,0.014,0.013,1
"NMD3","NMD3",0.589816337291126,-0.147012656934521,0.087,0.09,1
"EBF4","EBF4",0.590409199283634,-0.113500215030448,0.104,0.098,1
"TMEM156","TMEM156",0.591734971454082,-0.403434631592694,0.01,0.012,1
"ENSG00000259371","ENSG00000259371",0.592051840062926,-0.177414375625282,0.013,0.015,1
"LOC102724200","LOC102724200",0.592714088417532,0.134693526902685,0.023,0.021,1
"YIF1B","YIF1B",0.593314316822255,-0.128293075351209,0.104,0.097,1
"UTP14C","UTP14C",0.593331196951524,-0.186396618125066,0.075,0.078,1
"CCDC73","CCDC73",0.593764013558426,-0.532037039084169,0.015,0.017,1
"BAIAP3","BAIAP3",0.593903357175672,-0.187385628978967,0.013,0.015,1
"ENSG00000260495","ENSG00000260495",0.594267994800525,0.144554661204184,0.014,0.013,1
"ZDHHC7","ZDHHC7",0.594688940226775,-0.140971346619279,0.093,0.096,1
"HSDL1","HSDL1",0.595521537021727,0.144029500216943,0.052,0.049,1
"LINC00923","LINC00923",0.59571450915993,-0.250911108685192,0.009,0.01,1
"IRF2BPL","IRF2BPL",0.595838258742377,-0.107869559047275,0.045,0.048,1
"TENM2","TENM2",0.596002526341937,-0.255241197498376,0.033,0.036,1
"ST3GAL1","ST3GAL1",0.596432413226624,-0.237440304746778,0.013,0.015,1
"KCNJ6","KCNJ6",0.596562637665548,-0.343110884797662,0.01,0.012,1
"LCP1","LCP1",0.596783206060368,-0.197732638825,0.054,0.057,1
"ENSG00000264666","ENSG00000264666",0.597363159541868,0.267243319939638,0.01,0.009,1
"PRKCB","PRKCB",0.597801880536453,-0.12005426396995,0.334,0.332,1
"ZMYM4-AS1","ZMYM4-AS1",0.59807102239,-0.329265807736241,0.01,0.012,1
"UBQLN1-AS1","UBQLN1-AS1",0.599379945016236,-0.321396110438413,0.015,0.017,1
"CTC1","CTC1",0.599529389470912,-0.234072010069957,0.044,0.046,1
"APLF","APLF",0.599943261963791,-0.116559613442081,0.127,0.12,1
"ENSG00000285407","ENSG00000285407",0.600306085959433,0.109476229680469,0.01,0.009,1
"ENSG00000269973","ENSG00000269973",0.600306086170024,0.169595375727953,0.01,0.009,1
"ADAMTS9-AS2","ADAMTS9-AS2",0.600383422203538,-0.110169078688831,0.009,0.01,1
"CCNO-DT","CCNO-DT",0.600660467120806,-0.346624290504614,0.019,0.021,1
"FAM8A1","FAM8A1",0.601294159984045,-0.10140875622846,0.095,0.099,1
"PLCD1","PLCD1",0.601475718685994,-0.317572509116477,0.015,0.017,1
"ELAC2","ELAC2",0.60194656944521,-0.146967711290662,0.067,0.07,1
"ENKD1","ENKD1",0.602201696245652,-0.246153552444215,0.009,0.01,1
"EXOSC7","EXOSC7",0.602337560220108,-0.131241878761201,0.059,0.062,1
"BAIAP2-DT","BAIAP2-DT",0.602888950623945,0.353889570856607,0.011,0.01,1
"PPP4C","PPP4C",0.603229739839867,-0.116298328070273,0.076,0.079,1
"HSD17B1-AS1","HSD17B1-AS1",0.604008737136442,0.182331300374251,0.017,0.015,1
"ENSG00000249112","ENSG00000249112",0.60410007522768,-0.158390738886664,0.015,0.017,1
"WDR91","WDR91",0.604165643870209,-0.1292029607475,0.067,0.07,1
"POLR2C","POLR2C",0.604511991086681,-0.14132059004071,0.057,0.059,1
"B3GALT6","B3GALT6",0.604866506330073,-0.142870492091845,0.034,0.031,1
"FABP5","FABP5",0.60499254612594,0.105476761209241,0.054,0.057,1
"ZBTB20-AS1","ZBTB20-AS1",0.605468792387026,-0.396313648591447,0.014,0.016,1
"FLACC1","FLACC1",0.605566862352611,-0.324478147487018,0.025,0.027,1
"NIPSNAP3A","NIPSNAP3A",0.605706001309408,-0.142501892630339,0.044,0.047,1
"DACT3","DACT3",0.605710522121382,-0.157833646702261,0.198,0.198,1
"GBA2","GBA2",0.606047344602838,-0.157713030798301,0.11,0.113,1
"LSM6","LSM6",0.606066618454345,-0.187057461273105,0.072,0.076,1
"RPAIN","RPAIN",0.606074831513997,-0.141295696234645,0.218,0.218,1
"RNF146","RNF146",0.606134852282257,-0.114702369914388,0.222,0.223,1
"LINC02777","LINC02777",0.606293627671523,-0.287129363099786,0.014,0.016,1
"ADA","ADA",0.60676997335003,-0.12321790393063,0.047,0.043,1
"FBXL14","FBXL14",0.607950413689955,-0.132397859713843,0.094,0.088,1
"AKR7A2","AKR7A2",0.607990063982781,-0.149408012651503,0.056,0.059,1
"ENSG00000249240","ENSG00000249240",0.608034460651897,-0.102712564318368,0.028,0.031,1
"IMP4","IMP4",0.608346887190356,-0.326960960699727,0.055,0.058,1
"TRMO","TRMO",0.608709890324293,-0.2714288028246,0.044,0.047,1
"DRAIC","DRAIC",0.609699366784567,0.101201719257287,0.049,0.046,1
"MAMDC2-AS1","MAMDC2-AS1",0.609920791454492,-0.231584232638057,0.035,0.038,1
"PRMT5-DT","PRMT5-DT",0.610556316007905,-0.14639057727488,0.027,0.03,1
"RAB35","RAB35",0.61087957714305,-0.162460932511193,0.058,0.061,1
"ZC3H8","ZC3H8",0.611053228392463,-0.126406213253655,0.197,0.187,1
"GSAP","GSAP",0.611232065348373,0.1136894018524,0.073,0.07,1
"LINC02345","LINC02345",0.611501603861859,-0.170862362762748,0.014,0.016,1
"IDH3B","IDH3B",0.612496547301139,-0.128617806044652,0.071,0.067,1
"ENSG00000271380","ENSG00000271380",0.612704427071488,-0.276436555343349,0.013,0.014,1
"MRTO4","MRTO4",0.613525105477851,-0.106333625020321,0.032,0.034,1
"CUBN","CUBN",0.613567261903068,-0.165618404353089,0.044,0.047,1
"ENSG00000253853","ENSG00000253853",0.613888536036085,-0.251765869115358,0.018,0.019,1
"CDK5","CDK5",0.61520670922755,-0.382969769356288,0.02,0.018,1
"ASB13","ASB13",0.615940646350231,-0.15049814217014,0.043,0.046,1
"C2","C2",0.616035365006205,-0.136954055205443,0.02,0.022,1
"PDCL3","PDCL3",0.616111374800115,-0.236154738363353,0.026,0.028,1
"BLTP3A","BLTP3A",0.616460774204311,-0.100575229673742,0.116,0.12,1
"TSPAN3","TSPAN3",0.616936048724229,-0.164990688979204,0.186,0.187,1
"EME2","EME2",0.617417328431034,0.118203596813398,0.022,0.02,1
"EFCAB3","EFCAB3",0.617528627853728,-0.269813313423556,0.013,0.014,1
"RGP1","RGP1",0.617875444516246,-0.137115512170045,0.041,0.044,1
"LINC01902","LINC01902",0.618119879047553,-0.375869860667408,0.011,0.013,1
"NCAM1-AS2","NCAM1-AS2",0.618195027223346,-0.491668431576037,0.009,0.01,1
"LINC01931","LINC01931",0.61826509169108,-0.454419037928396,0.009,0.01,1
"SMU1","SMU1",0.618428263350308,-0.180340809148911,0.178,0.178,1
"ENSG00000203472","ENSG00000203472",0.618805934606893,-0.191897365908396,0.053,0.05,1
"NRSN2-AS1","NRSN2-AS1",0.618957252011308,0.25809572362493,0.021,0.019,1
"SIPA1L2","SIPA1L2",0.619052432572353,-0.231705021149618,0.061,0.064,1
"ENSG00000283149","ENSG00000283149",0.619058435560847,-0.176733053233006,0.039,0.042,1
"ZNF674-AS1","ZNF674-AS1",0.6206493456321,-0.358865822642439,0.009,0.01,1
"ENSG00000278384","ENSG00000278384",0.621652167442381,-0.115303601003199,0.057,0.059,1
"ENSG00000260167","ENSG00000260167",0.621820724373162,0.157379221536071,0.035,0.033,1
"HAUS8","HAUS8",0.62334872102568,-0.121773482476407,0.021,0.023,1
"FANCD2","FANCD2",0.623465785385756,0.198057979562082,0.016,0.014,1
"ENSG00000259899","ENSG00000259899",0.623541139750486,0.10422037511632,0.013,0.012,1
"PLPP7","PLPP7",0.623659767288641,-0.208220349778638,0.071,0.074,1
"GALC","GALC",0.623788862806639,-0.127972560302023,0.213,0.201,1
"SYN1","SYN1",0.623951795641765,-0.149432808101007,0.009,0.01,1
