"","Gene_Symbol","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ENSG00000249112","ENSG00000249112",0.126946908857413,0.537976021641613,0.027,0.019,1
"GTF3C2","GTF3C2",0.126987351088247,-0.132656583537016,0.077,0.095,1
"SMIM10L2A","SMIM10L2A",0.127026945250947,-0.923638203179562,0.008,0.014,1
"DUSP15","DUSP15",0.127311176242742,-0.135871234177577,0.026,0.036,1
"IDI1","IDI1",0.127336406077609,-0.278642935987524,0.064,0.079,1
"U2AF1","U2AF1",0.127385542837748,-0.336638063509261,0.024,0.033,1
"TRAM1","TRAM1",0.127400676057213,0.23567034158681,0.146,0.127,1
"ENSG00000284721","ENSG00000284721",0.127576276170602,-0.442056738225069,0.012,0.019,1
"LINC01362","LINC01362",0.127643660739189,0.420466189878745,0.022,0.015,1
"MROH9","MROH9",0.127661453747019,-0.453972945976638,0.008,0.014,1
"CDKL5","CDKL5",0.127670842495464,0.304191516201514,0.207,0.188,1
"TMEM9B","TMEM9B",0.127705321218306,-0.252702849011008,0.063,0.078,1
"CNTN4","CNTN4",0.127731074896028,-0.659862146284078,0.032,0.042,1
"NAA40","NAA40",0.12780250957643,-0.217770203681272,0.09,0.107,1
"SLC2A12","SLC2A12",0.127856409194387,0.102355679688375,0.109,0.131,1
"ZNF211","ZNF211",0.127879874122272,-0.337706537489144,0.044,0.056,1
"FAT1","FAT1",0.127946314277333,0.234163886454378,0.366,0.36,1
"ENSG00000258655","ENSG00000258655",0.128002128919795,-0.836464283078339,0.018,0.026,1
"POLR2E","POLR2E",0.128025391281629,-0.345362286519515,0.045,0.058,1
"ENSG00000149656","ENSG00000149656",0.128056175060412,-0.818905391097434,0.01,0.017,1
"SNAP47","SNAP47",0.128196047732871,0.549235965576238,0.05,0.039,1
"ARK2N","ARK2N",0.128198265017702,-0.27053789555416,0.095,0.112,1
"SUPT5H","SUPT5H",0.128403020869682,0.158536866574246,0.214,0.192,1
"RTKN","RTKN",0.128494583665352,0.48570432611272,0.06,0.048,1
"ENSG00000214772","ENSG00000214772",0.128496549255873,-0.463020581060101,0.039,0.051,1
"SMIM20","SMIM20",0.128528002810936,-0.400049079002359,0.039,0.05,1
"TNFAIP2","TNFAIP2",0.128768197373765,-0.238799330113566,0.02,0.029,1
"CEP250","CEP250",0.128899328430387,0.372120428710225,0.088,0.073,1
"CCDC92","CCDC92",0.128933901246041,0.133869661236177,0.406,0.389,1
"CNBD2","CNBD2",0.12901772772192,-0.400335837081157,0.024,0.033,1
"SLC6A6","SLC6A6",0.129031133327799,0.666048979088079,0.014,0.008,1
"RNF40","RNF40",0.129107805900366,-0.101879558231159,0.077,0.093,1
"SMNDC1","SMNDC1",0.129196646558819,-0.499955465466043,0.048,0.061,1
"COL4A2","COL4A2",0.129262040165293,0.280708320954968,0.237,0.214,1
"NDUFAF4","NDUFAF4",0.129290048353058,0.324089499900238,0.053,0.041,1
"MAPRE1","MAPRE1",0.129318354584089,0.286279372177153,0.09,0.075,1
"C22orf23","C22orf23",0.129346959802112,0.513028468826795,0.014,0.008,1
"RAB37","RAB37",0.129374168090869,0.315618598570467,0.018,0.011,1
"ATG4A","ATG4A",0.12937899693076,0.561093178468163,0.052,0.04,1
"AZIN1","AZIN1",0.129595269463114,-0.187938677688106,0.158,0.179,1
"IPCEF1","IPCEF1",0.129662388660488,-0.621573162842251,0.015,0.023,1
"ITGB1-DT","ITGB1-DT",0.129701995060692,1.07513620917592,0.029,0.021,1
