"","Gene_Symbol","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ENSG00000257139","ENSG00000257139",2.15430239268457e-56,-0.730274990226953,0.161,0.26,5.75995830732073e-52
"MGST2","MGST2",2.18034949153963e-56,1.13107473530552,0.146,0.073,5.82960043552951e-52
"TMSB10","TMSB10",2.18719326346626e-56,0.910103779359085,0.233,0.143,5.84789862852973e-52
"NBPF19","NBPF19",2.58098231691909e-56,1.47036123226895,0.112,0.048,6.90077242074657e-52
"EEIG1","EEIG1",2.60541309059297e-56,-0.502145758454799,0.306,0.426,6.96609298031843e-52
"CD22","CD22",3.06180558067404e-56,-0.346562830287139,0.399,0.541,8.18634958104819e-52
"PIK3CG","PIK3CG",3.79663718545468e-56,1.42516073851493,0.082,0.028,1.01510688427502e-51
"PPID","PPID",5.1390656270136e-56,1.06979996569289,0.172,0.093,1.37403197669463e-51
"YBX3","YBX3",5.31470352878041e-56,1.29613997121093,0.105,0.043,1.42099228249002e-51
"RAB27A","RAB27A",5.45199802909487e-56,1.08438094793857,0.188,0.106,1.45770071303909e-51
"SEPTIN6","SEPTIN6",5.62419845249271e-56,1.02171255268921,0.161,0.083,1.50374194024298e-51
"POGZ","POGZ",6.12338254493834e-56,-0.328504266791905,0.647,0.723,1.63720879104016e-51
"AP1B1","AP1B1",6.87555090554468e-56,0.711181158390055,0.279,0.184,1.83831604561548e-51
"EAF2","EAF2",7.49057042026274e-56,1.24673781704077,0.133,0.063,2.00275381326565e-51
"GSDME","GSDME",9.00341987187254e-56,1.40273076641386,0.106,0.044,2.40724437114256e-51
"FTH1","FTH1",9.72069272872173e-56,-0.389119694523397,0.718,0.788,2.59902161487833e-51
"PIGU","PIGU",1.06092429171725e-55,-0.617502200886911,0.256,0.366,2.83659327876442e-51
"ITGB5","ITGB5",1.18598652519929e-55,0.916939364373805,0.191,0.108,3.17097217242534e-51
"RBMS1","RBMS1",1.200824871787e-55,1.01817249280876,0.279,0.191,3.21064545969689e-51
"GLIPR1","GLIPR1",1.27804663900889e-55,1.61748383851739,0.077,0.025,3.41711329871806e-51
"REPS2","REPS2",1.29518025391969e-55,-0.483727307334235,0.41,0.521,3.46292344490507e-51
"RBM48","RBM48",1.3650770811031e-55,0.939207342248745,0.223,0.135,3.64980659174535e-51
"CEP170","CEP170",1.54535964773741e-55,0.377344901238331,0.733,0.673,4.13182809015552e-51
"MANBA","MANBA",1.67464509931402e-55,0.665904578681027,0.406,0.308,4.4774986020359e-51
"LANCL2","LANCL2",2.06198070555139e-55,-0.689521847710111,0.187,0.289,5.51311781243274e-51
"PLAAT3","PLAAT3",2.09636414943165e-55,-0.368427200631282,0.482,0.602,5.60504882633539e-51
"SNX3","SNX3",2.26487969233442e-55,0.746183745119186,0.302,0.205,6.05560883339454e-51
"DYNC2H1","DYNC2H1",2.69684571272375e-55,-0.589359257437608,0.22,0.327,7.21055638210949e-51
"MIR34AHG","MIR34AHG",2.74722708028788e-55,1.28745689217721,0.122,0.056,7.3452610445657e-51
"TMEM243","TMEM243",3.47720474261847e-55,1.44124655959833,0.103,0.043,9.297002320339e-51
"LRRC4C","LRRC4C",3.69042565943269e-55,-0.191969745705836,0.441,0.577,9.86709108562518e-51
"SNX10","SNX10",4.08142738158828e-55,1.39470699957504,0.141,0.071,1.09125123901526e-50
"PHC2","PHC2",4.18721520851211e-55,0.548852833978089,0.588,0.513,1.11953573029988e-50
"LOC105375903","LOC105375903",4.75009886772631e-55,2.27693386467413,0.044,0.007,1.27003393426398e-50
"IL6R","IL6R",4.82614831805436e-55,1.04738917654004,0.152,0.077,1.2903672757982e-50
"TMEM63A","TMEM63A",4.88143817988833e-55,-0.432847313915477,0.419,0.53,1.30515012615674e-50
"CLEC2D","CLEC2D",4.93244951683492e-55,1.08347409756897,0.151,0.076,1.31878902731615e-50
"PLA2G7","PLA2G7",5.94099131665501e-55,1.80083550682433,0.067,0.02,1.58844284833405e-50
"ANKRD44","ANKRD44",6.57525409243406e-55,0.528558679274231,0.767,0.72,1.7580256866941e-50
"LINC01122","LINC01122",7.45106399239118e-55,-0.942875229421203,0.092,0.174,1.99219097964563e-50
"SASH3","SASH3",8.63924000118403e-55,1.4898634384928,0.071,0.022,2.30987359911657e-50
"SMAD3","SMAD3",8.91612229548442e-55,0.953167152483652,0.189,0.107,2.38390361814367e-50
"TBC1D5","TBC1D5",1.50950362667378e-54,0.323859424062795,0.887,0.865,4.03595984663768e-50
"DIP2C","DIP2C",1.57490848664367e-54,-0.206066925880704,0.703,0.843,4.21083282073918e-50
"MLXIPL","MLXIPL",1.84932677040324e-54,0.838195045800916,0.131,0.06,4.94454498602715e-50
"LINC00499","LINC00499",1.85723127763473e-54,3.52207372786368,0.055,0.013,4.96567926701197e-50
"RGS18","RGS18",1.91574019961792e-54,1.86114087585609,0.06,0.015,5.12211457171843e-50
"ADD1","ADD1",2.07074669442694e-54,-0.477693696029702,0.57,0.656,5.53655543688932e-50
"FPR1","FPR1",2.17528365364307e-54,1.38159680396176,0.071,0.022,5.81605590474548e-50
"CMTM6","CMTM6",2.28107103602372e-54,1.02597958683538,0.16,0.083,6.09889962901663e-50
"SERPINE1","SERPINE1",2.37166655499183e-54,1.4851931013356,0.065,0.018,6.34112486808167e-50
"CXCL16","CXCL16",2.43750207049431e-54,1.36708398613795,0.097,0.039,6.51714928588064e-50
"CD163L1","CD163L1",2.74065128507011e-54,1.29520948017086,0.111,0.048,7.32767934089195e-50
"FAXDC2","FAXDC2",3.2295652997339e-54,-0.408882402058584,0.376,0.497,8.63488874189854e-50
"MALAT1","MALAT1",3.29021154862223e-54,-0.162139872233197,1,1,8.79703861755125e-50
"WIPF3","WIPF3",3.72648945649599e-54,1.65245318330135,0.081,0.028,9.96351485983332e-50
"ENSG00000270898","ENSG00000270898",3.99969446842727e-54,0.754167390966853,0.289,0.191,1.0693983100234e-49
"GNAO1","GNAO1",4.5941975603994e-54,-0.184425494241843,0.562,0.72,1.22835060172399e-49
"SEC24D","SEC24D",4.63977213108104e-54,1.11897679745666,0.155,0.081,1.24053587468714e-49
"SRD5A3","SRD5A3",4.76522292921364e-54,-1.09403789567105,0.08,0.156,1.27407765458385e-49
"PLAC8","PLAC8",5.27832241893323e-54,1.82133251247,0.07,0.021,1.41126506515018e-49
"PAQR6","PAQR6",5.96809867504859e-54,-0.781222029651598,0.126,0.216,1.59569054274774e-49
"ATP10D","ATP10D",6.76652905876808e-54,0.741501704525265,0.264,0.17,1.80916687444282e-49
"RGS19","RGS19",7.64846023409909e-54,1.25898369809866,0.08,0.028,2.04496881279107e-49
"DNAJC5","DNAJC5",8.19693472329985e-54,0.698213098760869,0.343,0.247,2.19161443696868e-49
"VWA8","VWA8",1.16606497433994e-53,-0.453144014700424,0.39,0.507,3.1177079218927e-49
"MIR3667HG","MIR3667HG",1.40672600650005e-53,1.07207588676246,0.144,0.072,3.76116332357918e-49
"ZNF804A","ZNF804A",1.62303310309072e-53,1.20320822366292,0.17,0.093,4.33950360773366e-49
"ZBTB1","ZBTB1",1.72491033984267e-53,0.663634202712838,0.398,0.301,4.61189277563735e-49
"LINC01285","LINC01285",1.81035178747374e-53,-1.0722222656849,0.068,0.142,4.84033757416855e-49
"SLF2","SLF2",1.83636822812214e-53,-0.43689951772476,0.447,0.552,4.90989773153016e-49
"BDNF-AS","BDNF-AS",1.98118672168295e-53,-0.69193710347387,0.229,0.33,5.29709893776371e-49
"CUEDC1","CUEDC1",2.36676679589403e-53,-0.43824509404572,0.398,0.513,6.32802438218187e-49
"PLCXD1","PLCXD1",2.81464962540301e-53,1.76323204786056,0.113,0.051,7.52552870344003e-49
"NEK10","NEK10",2.93731466506915e-53,1.63350157267502,0.119,0.056,7.85349821999538e-49
"PHF21A","PHF21A",3.68465605135644e-53,0.401087749978439,0.709,0.645,9.85166488451172e-49
"MIB1","MIB1",4.00455735206688e-53,0.484381350700046,0.54,0.444,1.07069849922212e-48
"MFSD6","MFSD6",4.22209666663295e-53,-0.505860842728148,0.302,0.413,1.12886198575765e-48
"ARNT2","ARNT2",4.79173939358218e-53,-0.428179206341682,0.343,0.463,1.28116736166207e-48
